,precision,recall,f1-score,support
0,0.9859604339502234,0.7120909509909357,0.8269402319357716,6509.0
1,0.026493506493506493,0.4358974358974359,0.04995102840352596,117.0
accuracy,0.7072140054331422,0.7072140054331422,0.7072140054331422,0.7072140054331422
macro avg,0.5062269702218649,0.5739941934441858,0.43844563016964877,6626.0
weighted avg,0.9690184432299643,0.7072140054331422,0.8132203803189177,6626.0
